"YEAR","START_DATE","END_DATE","JURISDICTION","LOCATION","AGE_GROUP","METRIC","BEST_DETECTION_METHOD","DETECTION_METHOD","AMPHETAMINE","CANNABIS","COCAINE","ECSTASY","METHYLAMPHETAMINE","OTHER","UNKNOWN","NO_DRUGS_DETECTED","COUNT","FINES","ARRESTS","CHARGES"
2014,"2014-01-01","2014-12-31","act","all regions","all ages","positive_drug_tests","Yes","indicator (stage 1)","No","No","No","No","No","No","Yes","No",392,0,0,0
2014,"2014-01-01","2014-12-31","nsw","all regions","all ages","positive_drug_tests","Yes","indicator (stage 1)","No","No","No","No","No","No","Yes","No",2096,0,0,0
2014,"2014-01-01","2014-12-31","nt","all regions","all ages","positive_drug_tests","Yes","indicator (stage 1)","No","No","No","No","No","No","Yes","No",90,0,0,0
2014,"2014-01-01","2014-12-31","qld","all regions","all ages","positive_drug_tests","Yes","indicator (stage 1)","No","No","No","No","No","No","Yes","No",2208,0,0,0
2014,"2014-01-01","2014-12-31","sa","all regions","all ages","positive_drug_tests","Yes","indicator (stage 1)","No","No","No","No","No","No","Yes","No",4681,0,0,0
2014,"2014-01-01","2014-12-31","tas","all regions","all ages","positive_drug_tests","Yes","indicator (stage 1)","No","No","No","No","No","No","Yes","No",1969,0,0,0
2014,"2014-01-01","2014-12-31","vic","all regions","all ages","positive_drug_tests","Yes","indicator (stage 1)","No","No","No","No","No","No","Yes","No",3749,0,0,0
2014,"2014-01-01","2014-12-31","wa","all regions","all ages","positive_drug_tests","Yes","indicator (stage 1)","No","No","No","No","No","No","Yes","No",1104,0,0,0
2015,"2015-01-01","2015-12-31","act","all regions","all ages","positive_drug_tests","Yes","indicator (stage 1)","No","No","No","No","No","No","Yes","No",258,0,0,0
2015,"2015-01-01","2015-12-31","nsw","all regions","all ages","positive_drug_tests","Yes","indicator (stage 1)","No","No","No","No","No","No","Yes","No",9123,0,0,0
2015,"2015-01-01","2015-12-31","nt","all regions","all ages","positive_drug_tests","Yes","indicator (stage 1)","No","No","No","No","No","No","Yes","No",120,0,0,0
2015,"2015-01-01","2015-12-31","qld","all regions","all ages","positive_drug_tests","Yes","indicator (stage 1)","No","No","No","No","No","No","Yes","No",7446,0,0,0
2015,"2015-01-01","2015-12-31","sa","all regions","all ages","positive_drug_tests","Yes","indicator (stage 1)","No","No","No","No","No","No","Yes","No",5239,0,0,0
